Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
0,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,ANY,1488232600817,1488232605322,0,2423,1852,112,2724,0,0,0,ShuffleMapTask
1,bsagent5.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S9,ANY,1488232600904,1488232605642,0,2719,1915,0,2723,0,0,0,ShuffleMapTask
9,bsagent8.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S14,ANY,1488232600929,1488232613419,0,10604,1765,193,2441,0,0,1,ShuffleMapTask
3,bsagent4.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S10,ANY,1488232600928,1488232613934,0,11033,1846,205,2441,0,0,1,ShuffleMapTask
8,bsagent7.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S13,ANY,1488232600929,1488232615137,0,12560,1560,211,2441,0,0,1,ShuffleMapTask
7,bsagent4.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S10,ANY,1488232600929,1488232615212,0,12370,1849,205,2441,0,0,1,ShuffleMapTask
5,bsagent7.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S13,ANY,1488232600928,1488232615334,0,12779,1547,211,2441,0,0,1,ShuffleMapTask
6,bsagent8.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S14,ANY,1488232600929,1488232615455,0,12688,1761,193,2441,0,0,1,ShuffleMapTask
14,bsagent7.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S13,ANY,1488232615118,1488232616054,0,790,118,0,2724,0,0,3,ShuffleMapTask
10,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,ANY,1488232605252,1488232616373,0,11040,23,103,2441,0,0,1,ShuffleMapTask
15,bsagent4.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S10,ANY,1488232615201,1488232616699,0,1337,96,46,2724,0,0,3,ShuffleMapTask
2,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,ANY,1488232600928,1488232619110,0,16283,1842,215,2441,0,0,1,ShuffleMapTask
4,bsagent5.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S9,ANY,1488232600928,1488232619375,0,16477,1906,152,2440,0,0,1,ShuffleMapTask
11,bsagent5.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S9,ANY,1488232605615,1488232619574,0,13753,168,152,2440,0,0,1,ShuffleMapTask
13,bsagent4.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S10,ANY,1488232613880,1488232619728,0,5775,31,46,2441,0,0,1,ShuffleMapTask
12,bsagent8.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S14,ANY,1488232613380,1488232620370,0,6909,25,49,2441,0,0,1,ShuffleMapTask
17,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232620575,1488232621491,0,722,115,0,2110,0,0,2,ShuffleMapTask
16,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232620566,1488232621508,0,725,119,0,2110,0,0,2,ShuffleMapTask
18,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621456,1488232621671,0,153,21,0,2110,0,0,2,ShuffleMapTask
19,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621475,1488232621723,0,138,67,0,2110,0,0,2,ShuffleMapTask
21,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621712,1488232621899,0,86,55,0,2110,0,0,2,ShuffleMapTask
20,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621664,1488232621907,0,143,39,0,2110,0,0,2,ShuffleMapTask
22,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621867,1488232622004,0,83,11,0,2110,0,0,2,ShuffleMapTask
23,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621885,1488232622081,0,101,43,0,2110,0,0,2,ShuffleMapTask
24,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232621996,1488232622129,0,85,15,0,2110,0,0,2,ShuffleMapTask
26,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232622121,1488232622251,0,50,10,0,2110,0,0,2,ShuffleMapTask
25,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232622078,1488232622272,0,143,10,51,2110,0,0,2,ShuffleMapTask
28,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232622268,1488232622370,0,57,15,0,2110,0,0,2,ShuffleMapTask
27,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232622247,1488232622382,0,88,8,0,2110,0,0,2,ShuffleMapTask
30,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232622376,1488232622490,0,58,23,0,2110,0,0,2,ShuffleMapTask
29,bsagent6.localdomain,90d05655-6af4-47e7-bf7e-08fcd1ad9aef-S11,NODE_LOCAL,1488232622360,1488232622509,0,99,12,0,2110,0,0,2,ShuffleMapTask
