Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
11,node034.pico.cineca.it,0,NODE_LOCAL,1481569687140,1481569796043,0,107264,1535,289,2476,0,0,0,ShuffleMapTask
19,node034.pico.cineca.it,0,NODE_LOCAL,1481569687143,1481569798695,0,109936,1521,289,2476,0,0,0,ShuffleMapTask
1,node034.pico.cineca.it,0,NODE_LOCAL,1481569687135,1481569799344,0,110583,1584,289,2476,0,0,0,ShuffleMapTask
5,node034.pico.cineca.it,0,NODE_LOCAL,1481569687137,1481569800999,0,112242,1545,303,2476,0,0,0,ShuffleMapTask
4,node034.pico.cineca.it,0,NODE_LOCAL,1481569687136,1481569802033,0,113271,1550,303,2476,0,0,0,ShuffleMapTask
9,node034.pico.cineca.it,0,NODE_LOCAL,1481569687139,1481569802622,0,113862,1536,303,2476,0,0,0,ShuffleMapTask
12,node034.pico.cineca.it,0,NODE_LOCAL,1481569687140,1481569802662,0,113864,1533,303,2476,0,0,0,ShuffleMapTask
7,node034.pico.cineca.it,0,NODE_LOCAL,1481569687137,1481569802872,0,114114,1541,303,2476,0,0,0,ShuffleMapTask
17,node034.pico.cineca.it,0,NODE_LOCAL,1481569687142,1481569802985,0,114226,1525,303,2476,0,0,0,ShuffleMapTask
14,node034.pico.cineca.it,0,NODE_LOCAL,1481569687141,1481569803119,0,114362,1530,303,2476,0,0,0,ShuffleMapTask
8,node034.pico.cineca.it,0,NODE_LOCAL,1481569687138,1481569803273,0,114516,1539,303,2476,0,0,0,ShuffleMapTask
15,node034.pico.cineca.it,0,NODE_LOCAL,1481569687141,1481569804703,0,115946,1528,316,2476,0,0,0,ShuffleMapTask
3,node034.pico.cineca.it,0,NODE_LOCAL,1481569687136,1481569804835,0,116078,1582,316,2476,0,0,0,ShuffleMapTask
16,node034.pico.cineca.it,0,NODE_LOCAL,1481569687142,1481569805501,0,116745,1527,316,2476,0,0,0,ShuffleMapTask
13,node034.pico.cineca.it,0,NODE_LOCAL,1481569687140,1481569806154,0,117396,1531,316,2476,0,0,0,ShuffleMapTask
6,node034.pico.cineca.it,0,NODE_LOCAL,1481569687137,1481569806391,0,117632,1544,316,2476,0,0,0,ShuffleMapTask
2,node034.pico.cineca.it,0,NODE_LOCAL,1481569687135,1481569806895,0,118139,1583,325,2476,0,0,0,ShuffleMapTask
18,node034.pico.cineca.it,0,NODE_LOCAL,1481569687143,1481569806926,0,118169,1522,325,2476,0,0,0,ShuffleMapTask
0,node034.pico.cineca.it,0,NODE_LOCAL,1481569687112,1481569807082,0,118325,1584,325,2476,0,0,0,ShuffleMapTask
10,node034.pico.cineca.it,0,NODE_LOCAL,1481569687139,1481569807824,0,119067,1537,325,2476,0,0,0,ShuffleMapTask
22,node034.pico.cineca.it,0,NODE_LOCAL,1481569799342,1481569863136,0,63654,17,112,2476,0,0,0,ShuffleMapTask
21,node034.pico.cineca.it,0,NODE_LOCAL,1481569798693,1481569868062,0,69329,10,116,2476,0,0,0,ShuffleMapTask
20,node034.pico.cineca.it,0,NODE_LOCAL,1481569796031,1481569869449,0,73255,62,116,2476,0,0,0,ShuffleMapTask
26,node034.pico.cineca.it,0,NODE_LOCAL,1481569802661,1481569885577,0,82789,110,110,2476,0,0,0,ShuffleMapTask
24,node034.pico.cineca.it,0,NODE_LOCAL,1481569802031,1481569889923,0,87868,13,121,2476,0,0,0,ShuffleMapTask
30,node034.pico.cineca.it,0,NODE_LOCAL,1481569803272,1481569892409,0,88931,197,121,2476,0,0,0,ShuffleMapTask
38,node034.pico.cineca.it,0,NODE_LOCAL,1481569807080,1481569893089,0,85991,7,99,2476,0,0,0,ShuffleMapTask
25,node034.pico.cineca.it,0,NODE_LOCAL,1481569802621,1481569895535,0,92757,114,128,2476,0,0,0,ShuffleMapTask
28,node034.pico.cineca.it,0,NODE_LOCAL,1481569802984,1481569897202,0,93869,12,128,2476,0,0,0,ShuffleMapTask
31,node034.pico.cineca.it,0,NODE_LOCAL,1481569804702,1481569899216,0,94493,14,125,2476,0,0,0,ShuffleMapTask
23,node034.pico.cineca.it,0,NODE_LOCAL,1481569800998,1481569899863,0,98807,24,138,2476,0,0,0,ShuffleMapTask
29,node034.pico.cineca.it,0,NODE_LOCAL,1481569803117,1481569899891,0,96755,12,138,2476,0,0,0,ShuffleMapTask
35,node034.pico.cineca.it,0,NODE_LOCAL,1481569806389,1481569900197,0,93786,14,125,2476,0,0,0,ShuffleMapTask
36,node034.pico.cineca.it,0,NODE_LOCAL,1481569806894,1481569900968,0,94059,7,116,2476,0,0,0,ShuffleMapTask
