Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
3,10.0.0.5,2,PROCESS_LOCAL,1481253693458,1481253699381,0,3336,2516,0,2315,0,0,1,ResultTask
0,10.0.0.13,1,PROCESS_LOCAL,1481253693419,1481253700236,0,4003,2700,0,20277,0,0,0,ResultTask
2,10.0.0.13,1,PROCESS_LOCAL,1481253693457,1481253700346,0,4141,2703,0,3780,0,0,1,ResultTask
1,10.0.0.13,3,PROCESS_LOCAL,1481253693443,1481253700361,0,4090,2696,0,17487,0,0,0,ResultTask
4,10.0.0.5,2,PROCESS_LOCAL,1481253701403,1481253729644,0,27908,248,616,3297,0,0,2,ShuffleMapTask
7,10.0.0.5,2,PROCESS_LOCAL,1481253701407,1481253729647,0,27909,248,616,3297,0,0,2,ShuffleMapTask
5,10.0.0.13,1,PROCESS_LOCAL,1481253701405,1481253729976,0,28332,214,686,3299,0,0,2,ShuffleMapTask
8,10.0.0.13,1,PROCESS_LOCAL,1481253701408,1481253732328,0,30686,212,702,3299,0,0,2,ShuffleMapTask
9,10.0.0.13,3,PROCESS_LOCAL,1481253701409,1481253732712,0,30888,381,719,3299,0,0,2,ShuffleMapTask
6,10.0.0.13,3,PROCESS_LOCAL,1481253701406,1481253732909,0,31076,393,719,3299,0,0,2,ShuffleMapTask
10,10.0.0.5,2,PROCESS_LOCAL,1481253729639,1481253753377,0,23660,54,129,3297,0,0,2,ShuffleMapTask
11,10.0.0.5,2,PROCESS_LOCAL,1481253729641,1481253754060,0,24305,95,129,3297,0,0,2,ShuffleMapTask
12,10.0.0.13,1,PROCESS_LOCAL,1481253729975,1481253756725,0,26655,52,247,3299,0,0,2,ShuffleMapTask
14,10.0.0.13,3,PROCESS_LOCAL,1481253732710,1481253758745,0,25941,59,241,3299,0,0,2,ShuffleMapTask
15,10.0.0.13,3,PROCESS_LOCAL,1481253732905,1481253759135,0,26089,112,241,3299,0,0,2,ShuffleMapTask
13,10.0.0.13,1,PROCESS_LOCAL,1481253732325,1481253760828,0,28427,44,245,3299,0,0,2,ShuffleMapTask
16,10.0.0.5,2,PROCESS_LOCAL,1481253753374,1481253778759,0,25344,24,116,3297,0,0,2,ShuffleMapTask
17,10.0.0.5,2,PROCESS_LOCAL,1481253754059,1481253778831,0,24726,31,116,3297,0,0,2,ShuffleMapTask
18,10.0.0.13,1,PROCESS_LOCAL,1481253756724,1481253782259,0,25478,41,129,3299,0,0,2,ShuffleMapTask
20,10.0.0.13,3,PROCESS_LOCAL,1481253759134,1481253784769,0,25535,77,146,3299,0,0,2,ShuffleMapTask
19,10.0.0.13,3,PROCESS_LOCAL,1481253758744,1481253785084,0,26289,32,146,3299,0,0,2,ShuffleMapTask
21,10.0.0.13,1,PROCESS_LOCAL,1481253760827,1481253787362,0,26465,40,163,3299,0,0,2,ShuffleMapTask
23,10.0.0.5,2,PROCESS_LOCAL,1481253778830,1481253802384,0,23510,25,97,3297,0,0,2,ShuffleMapTask
22,10.0.0.5,2,PROCESS_LOCAL,1481253778757,1481253802430,0,23626,32,97,3297,0,0,2,ShuffleMapTask
24,10.0.0.13,1,PROCESS_LOCAL,1481253782257,1481253808027,0,25700,55,123,3299,0,0,2,ShuffleMapTask
