Job ID,Submission Time,Stage IDs,Completion Time
0,1481253693380,[0],NOVAL
1,1481253693434,[1],NOVAL
1,NOVAL,NOVAL,1481253700351
0,NOVAL,NOVAL,1481253700362
2,1481253701273,"[2, 3]",NOVAL
2,NOVAL,NOVAL,1481255760638
